epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,10021.3,1.16374,0.95695,1.15597,0.78467,0.68148,0.74657,0.38066,1.69562,1.17203,1.58614,0.001406,0.001406,0.001406
32,10284.7,1.16081,0.97261,1.14529,0.72538,0.66526,0.69295,0.38526,1.60514,1.23377,1.4701,0.0013862,0.0013862,0.0013862
33,10545.9,1.13787,0.9341,1.13153,0.69779,0.65926,0.69455,0.35831,1.64365,1.20047,1.54477,0.0013664,0.0013664,0.0013664
34,10812.2,1.13602,0.94892,1.14466,0.71996,0.60942,0.67955,0.38446,1.53898,1.22817,1.4483,0.0013466,0.0013466,0.0013466
35,11073.7,1.13861,0.93826,1.14163,0.72411,0.68047,0.72529,0.4026,1.52305,1.16371,1.4293,0.0013268,0.0013268,0.0013268
36,11330.3,1.13182,0.92291,1.13898,0.76108,0.63704,0.71777,0.3981,1.58503,1.1442,1.41998,0.001307,0.001307,0.001307
37,11585.2,1.13087,0.93697,1.13448,0.71957,0.68426,0.72133,0.41978,1.51422,1.15017,1.41496,0.0012872,0.0012872,0.0012872
38,11843.9,1.10623,0.91701,1.1264,0.74921,0.64444,0.7095,0.40631,1.61125,1.31633,1.49425,0.0012674,0.0012674,0.0012674
39,12101.3,1.1262,0.90871,1.12877,0.70303,0.67407,0.72087,0.40997,1.42237,1.12234,1.32679,0.0012476,0.0012476,0.0012476
40,12363.6,1.08658,0.86556,1.1093,0.71302,0.64444,0.71115,0.39544,1.5404,1.10827,1.41479,0.0012278,0.0012278,0.0012278
41,12620.4,1.09877,0.87928,1.12574,0.70987,0.68148,0.71902,0.37679,1.56575,1.19262,1.43698,0.001208,0.001208,0.001208
42,12875,1.0818,0.86354,1.11004,0.7332,0.62222,0.71125,0.39279,1.569,1.10631,1.43584,0.0011882,0.0011882,0.0011882
43,13133.3,1.098,0.8769,1.11889,0.76573,0.55689,0.67593,0.35505,1.55298,1.19509,1.45861,0.0011684,0.0011684,0.0011684
44,13394.3,1.08868,0.86526,1.11912,0.82378,0.66667,0.75651,0.41346,1.5589,1.16583,1.471,0.0011486,0.0011486,0.0011486
45,13651,1.07808,0.85513,1.10648,0.72746,0.67407,0.70731,0.39861,1.53224,1.2844,1.39314,0.0011288,0.0011288,0.0011288
46,13905.1,1.07647,0.86172,1.11056,0.80122,0.65185,0.74739,0.42158,1.51944,1.09946,1.42945,0.001109,0.001109,0.001109
47,14154.8,1.09646,0.87274,1.11506,0.72685,0.65046,0.73016,0.41094,1.46508,1.15165,1.34874,0.0010892,0.0010892,0.0010892
48,14410.9,1.07416,0.85607,1.10369,0.79152,0.61481,0.72252,0.41099,1.48038,1.08769,1.39156,0.0010694,0.0010694,0.0010694
49,14663.3,1.07232,0.84208,1.10547,0.74282,0.72744,0.7423,0.40059,1.507,1.09041,1.39246,0.0010496,0.0010496,0.0010496
50,14918.3,1.05613,0.83339,1.10455,0.78898,0.69239,0.71232,0.39783,1.50665,1.10352,1.41699,0.0010298,0.0010298,0.0010298
51,15173.5,1.05636,0.83571,1.10049,0.83134,0.62073,0.71338,0.38366,1.4876,1.11709,1.44003,0.00101,0.00101,0.00101
52,15425.6,1.05973,0.81847,1.10032,0.82254,0.67407,0.75272,0.43365,1.53815,1.02945,1.43437,0.0009902,0.0009902,0.0009902
53,15681,1.0515,0.82256,1.09655,0.75163,0.71735,0.77025,0.44677,1.47348,1.13544,1.35802,0.0009704,0.0009704,0.0009704
54,15937.5,1.03829,0.79408,1.08579,0.80475,0.65185,0.74793,0.43012,1.40415,1.05601,1.36832,0.0009506,0.0009506,0.0009506
55,16205.7,1.04255,0.802,1.08469,0.75956,0.72593,0.76783,0.44132,1.45024,1.0196,1.33843,0.0009308,0.0009308,0.0009308
56,16464,1.01504,0.80306,1.08258,0.79809,0.61487,0.71124,0.40684,1.62771,1.15854,1.50583,0.000911,0.000911,0.000911
57,16722.2,1.0568,0.81592,1.0953,0.74545,0.73333,0.735,0.40895,1.504,1.10076,1.4438,0.0008912,0.0008912,0.0008912
58,16973.7,1.02475,0.79266,1.08891,0.74007,0.64444,0.69937,0.4056,1.49039,1.1446,1.37487,0.0008714,0.0008714,0.0008714
59,17228.8,1.03448,0.8084,1.0889,0.75604,0.6963,0.74405,0.40721,1.5365,1.14009,1.44833,0.0008516,0.0008516,0.0008516
60,17489.1,1.02487,0.76941,1.07831,0.80925,0.69137,0.75155,0.42379,1.49321,1.05992,1.37905,0.0008318,0.0008318,0.0008318
61,17745.8,1.02857,0.78272,1.07747,0.83596,0.604,0.73365,0.42818,1.5253,1.07024,1.41353,0.000812,0.000812,0.000812
62,18008.5,1.00425,0.76456,1.0712,0.78077,0.71852,0.79104,0.45513,1.44171,1.02427,1.3569,0.0007922,0.0007922,0.0007922
63,18283.1,1.01358,0.77111,1.07309,0.80232,0.69147,0.76827,0.43266,1.45825,1.02588,1.3536,0.0007724,0.0007724,0.0007724
64,18551,1.00587,0.76453,1.07409,0.77735,0.67242,0.72891,0.41276,1.52752,1.06997,1.43104,0.0007526,0.0007526,0.0007526
65,18804.1,0.99302,0.75695,1.06389,0.76008,0.66667,0.74048,0.42893,1.49154,0.99176,1.37618,0.0007328,0.0007328,0.0007328
66,19055.7,1.00674,0.74593,1.07111,0.78067,0.65926,0.75451,0.42424,1.45555,1.04567,1.35517,0.000713,0.000713,0.000713
67,19369.1,0.99329,0.75053,1.06712,0.85009,0.68148,0.77809,0.43443,1.45291,1.08932,1.34297,0.0006932,0.0006932,0.0006932
68,19623.8,0.99315,0.74427,1.06156,0.78197,0.69074,0.76863,0.43735,1.46465,1.02029,1.35182,0.0006734,0.0006734,0.0006734
69,19881.5,1.00024,0.73119,1.06789,0.83519,0.6757,0.77985,0.43351,1.4115,1.03038,1.3468,0.0006536,0.0006536,0.0006536
70,20640.6,0.98221,0.73885,1.05806,0.84246,0.67407,0.77674,0.42287,1.51043,1.09481,1.42436,0.0006338,0.0006338,0.0006338
71,20902,0.9909,0.7353,1.06518,0.74273,0.72593,0.76978,0.43831,1.45874,1.05606,1.38969,0.000614,0.000614,0.000614
72,21165.4,0.9734,0.7264,1.0614,0.80747,0.71454,0.78482,0.42446,1.53925,1.04789,1.42032,0.0005942,0.0005942,0.0005942
73,21423.7,0.97418,0.71052,1.0604,0.78386,0.71852,0.77908,0.43401,1.4687,1.0138,1.3957,0.0005744,0.0005744,0.0005744
74,21684.4,0.97282,0.71575,1.06067,0.77406,0.76135,0.77789,0.4328,1.58513,1.09062,1.45415,0.0005546,0.0005546,0.0005546
75,21946.5,0.97575,0.72407,1.05421,0.84337,0.68889,0.77118,0.42672,1.45024,1.12644,1.37125,0.0005348,0.0005348,0.0005348
76,22210.1,0.96548,0.71799,1.05635,0.71193,0.67407,0.73415,0.4114,1.43308,1.07464,1.35549,0.000515,0.000515,0.000515
77,22480.5,0.96186,0.71223,1.0523,0.77209,0.72593,0.76575,0.42777,1.49846,1.04787,1.38202,0.0004952,0.0004952,0.0004952
78,22741.6,0.96635,0.71043,1.05227,0.80947,0.72385,0.77247,0.41611,1.55691,1.04683,1.39647,0.0004754,0.0004754,0.0004754
79,22998.1,0.96353,0.70458,1.04759,0.7673,0.73274,0.7672,0.41492,1.5752,1.07595,1.47736,0.0004556,0.0004556,0.0004556
80,23260.9,0.96221,0.70002,1.04823,0.78615,0.73333,0.76484,0.42431,1.43449,0.97111,1.35641,0.0004358,0.0004358,0.0004358
81,23527.6,0.94308,0.68227,1.03782,0.7922,0.72593,0.78006,0.44287,1.48179,1.03641,1.37605,0.000416,0.000416,0.000416
82,23789.4,0.95455,0.69657,1.04977,0.76649,0.72593,0.75863,0.43295,1.50617,1.0012,1.39091,0.0003962,0.0003962,0.0003962
83,24052.2,0.95235,0.68822,1.05164,0.80115,0.73333,0.7863,0.43709,1.52717,1.02236,1.37167,0.0003764,0.0003764,0.0003764
84,24431.3,0.9384,0.66857,1.03955,0.83955,0.74815,0.78556,0.43944,1.49641,1.00212,1.37975,0.0003566,0.0003566,0.0003566
85,24692.8,0.95556,0.67759,1.04745,0.81547,0.72019,0.77142,0.42257,1.50459,1.1277,1.40354,0.0003368,0.0003368,0.0003368
86,25252.1,0.9335,0.67277,1.03338,0.87212,0.70724,0.78937,0.42657,1.50975,1.0493,1.38649,0.000317,0.000317,0.000317
87,25512.8,0.9307,0.66404,1.03205,0.77933,0.7037,0.76594,0.43648,1.46818,1.02248,1.369,0.0002972,0.0002972,0.0002972
88,25771.2,0.92591,0.66149,1.03418,0.81036,0.7037,0.78627,0.42936,1.53642,0.97796,1.45494,0.0002774,0.0002774,0.0002774
89,26030.7,0.92391,0.65583,1.03643,0.77936,0.74815,0.78861,0.44508,1.53063,0.9331,1.46874,0.0002576,0.0002576,0.0002576
90,26304.4,0.91907,0.65264,1.03465,0.812,0.70386,0.78053,0.45306,1.46763,0.98178,1.36704,0.0002378,0.0002378,0.0002378
91,26566,0.87552,0.60644,0.99476,0.82394,0.71111,0.76935,0.43271,1.58778,0.98295,1.52062,0.000218,0.000218,0.000218
92,26818.1,0.85682,0.56319,0.9886,0.81415,0.71852,0.78626,0.44001,1.51485,0.97688,1.45875,0.0001982,0.0001982,0.0001982
93,27078.3,0.85062,0.54977,0.98106,0.82436,0.73011,0.78853,0.43307,1.55505,1.01337,1.46329,0.0001784,0.0001784,0.0001784
94,27339.1,0.84689,0.54775,0.97974,0.81284,0.70777,0.7834,0.44169,1.5852,1.00455,1.5007,0.0001586,0.0001586,0.0001586
95,27590.9,0.83299,0.54287,0.97333,0.79584,0.72188,0.78294,0.44497,1.54286,0.96542,1.51901,0.0001388,0.0001388,0.0001388
96,27979.9,0.83515,0.53557,0.97469,0.82353,0.71111,0.77471,0.44096,1.5271,0.97955,1.48092,0.000119,0.000119,0.000119
97,28232.7,0.82355,0.52544,0.96807,0.80263,0.72297,0.78157,0.43287,1.56326,1.01341,1.50483,9.92e-05,9.92e-05,9.92e-05
98,28487.4,0.82411,0.52442,0.96822,0.78173,0.71632,0.76737,0.43765,1.55058,0.99977,1.49048,7.94e-05,7.94e-05,7.94e-05
99,28749.4,0.82222,0.52715,0.96507,0.80058,0.71111,0.77504,0.43634,1.57226,1.01095,1.50289,5.96e-05,5.96e-05,5.96e-05
100,29009.3,0.80888,0.51564,0.96528,0.81566,0.71111,0.77551,0.43636,1.54875,0.99943,1.49131,3.98e-05,3.98e-05,3.98e-05
