epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11835.9,1.0818,0.86354,1.11004,0.7332,0.62222,0.71125,0.39279,1.569,1.10631,1.43584,0.0011882,0.0011882,0.0011882
43,12091.1,1.098,0.8769,1.11889,0.76573,0.55689,0.67593,0.35505,1.55298,1.19509,1.45861,0.0011684,0.0011684,0.0011684
44,12355.5,1.08868,0.86526,1.11912,0.82378,0.66667,0.75651,0.41346,1.5589,1.16583,1.471,0.0011486,0.0011486,0.0011486
45,12612.6,1.07808,0.85513,1.10648,0.72746,0.67407,0.70731,0.39861,1.53224,1.2844,1.39314,0.0011288,0.0011288,0.0011288
46,12866.9,1.07647,0.86172,1.11056,0.80122,0.65185,0.74739,0.42158,1.51944,1.09946,1.42945,0.001109,0.001109,0.001109
47,14027.9,1.09646,0.87274,1.11506,0.72685,0.65046,0.73016,0.41094,1.46508,1.15165,1.34874,0.0010892,0.0010892,0.0010892
48,18138.2,1.07416,0.85607,1.10369,0.79152,0.61481,0.72252,0.41099,1.48038,1.08769,1.39156,0.0010694,0.0010694,0.0010694
49,18385,1.07232,0.84208,1.10547,0.74282,0.72744,0.7423,0.40059,1.507,1.09041,1.39246,0.0010496,0.0010496,0.0010496
50,18632.7,1.05613,0.83339,1.10455,0.78898,0.69239,0.71232,0.39783,1.50665,1.10352,1.41699,0.0010298,0.0010298,0.0010298
51,18880.8,1.05636,0.83571,1.10049,0.83134,0.62073,0.71338,0.38366,1.4876,1.11709,1.44003,0.00101,0.00101,0.00101
52,19134.8,1.05973,0.81847,1.10032,0.82254,0.67407,0.75272,0.43365,1.53815,1.02945,1.43437,0.0009902,0.0009902,0.0009902
